Epoch,Train Loss,Validation Loss,Validation Accuracy,Time (seconds)
1,0.541711,0.47525,0.762,455.187295
2,0.415133,0.390871,0.822,415.870515
3,0.322345,0.381156,0.825,452.047648
4,0.247089,0.349304,0.851,420.93665
5,0.184813,0.322488,0.856,459.75134
6,0.13205,0.331808,0.86,437.383149
7,0.093257,0.384591,0.857,450.093865
8,0.063099,0.399829,0.865,445.354055
9,0.042094,0.429425,0.861,507.461382
10,0.033045,0.416487,0.874,466.54541
